,Digital 2d Art (Manga),,,,,,,,,,,,Size difference vs. Jpeg XL (-e 9 -E 3 -I 1),,,,,,,,,
exJpeg,PNG (Pingo + ECT),,WebP,WP2,FLIF,AVIF,JXL (e9 E3 I1),JXL (-e 9),JXL (-e 7),JXL (-e 3),BMF (-s),EMMA,WebP,WP2,FLIF,AVIF,PNG,Effort 9,Effort 7,Effort 3,BMF,EMMA
"1.000   NO,  this doesn't look like an ex-JPEG image.",1xhokv0wast51.png,"437,052","289,204","290,098","237,657","868,331","230,160","248,137","295,848","372,079","246,076","212,382",25.65%,26.04%,3.26%,277.27%,89.89%,7.81%,28.54%,61.66%,6.92%,-7.72%
"1.042   NO,  this doesn't look like an ex-JPEG image.",1y0ljuz626d51.png,"1,183,657","773,970","740,549","592,476","1,405,880","566,157","609,923","679,955","833,821","617,844","494,746",36.71%,30.80%,4.65%,148.32%,109.07%,7.73%,20.10%,47.28%,9.13%,-12.61%
1.064   Maybe. Try better methods.,1zf8de8t9c641.png,"1,503,459","1,151,506","1,083,504","1,007,285","1,293,000","891,070","914,071","959,008","1,118,212","774,464","759,670",29.23%,21.60%,13.04%,45.11%,68.73%,2.58%,7.62%,25.49%,-13.09%,-14.75%
"4.137 ! YES, this looks like an ex-JPEG image, no smoothing.",25t5v0p6cih41.png,"1,209,864","1,009,106","948,930","951,031","1,142,516","877,387","909,920","929,242","1,015,465","817,476","782,268",15.01%,8.15%,8.39%,30.22%,37.89%,3.71%,5.91%,15.74%,-6.83%,-10.84%
"1.000   NO,  this doesn't look like an ex-JPEG image.",2aqbd7vyq7k41.png,"222,402","161,566","154,373","151,224","211,403","136,082","137,822","146,319","164,737","121,728","125,633",18.73%,13.44%,11.13%,55.35%,63.43%,1.28%,7.52%,21.06%,-10.55%,-7.68%
"1.000   NO,  this doesn't look like an ex-JPEG image.",2cw0x1gol3l51.png,"615,811","589,482","576,702","537,762","1,316,570","495,937","500,102","554,534","609,535","543,912","466,936",18.86%,16.29%,8.43%,165.47%,24.17%,0.84%,11.82%,22.91%,9.67%,-5.85%
"1.024   NO,  this doesn't look like an ex-JPEG image.",2ics2cqraos51.png,"2,982,081","2,476,132","2,311,501","1,963,535","2,707,537","1,835,052","1,908,463","1,977,170","2,269,882","2,011,324","1,515,242",34.94%,25.96%,7.00%,47.55%,62.51%,4.00%,7.74%,23.70%,9.61%,-17.43%
"1.000   NO,  this doesn't look like an ex-JPEG image.",2iqjkg385xx51.png,"355,361","262,608","259,844","246,251","517,713","237,411","239,051","253,425","253,858","226,148","219,357",10.61%,9.45%,3.72%,118.07%,49.68%,0.69%,6.75%,6.93%,-4.74%,-7.60%
"1.000   NO,  this doesn't look like an ex-JPEG image.",2lp35x4l14w51.png,"1,222,279","775,988","762,814","592,601","1,686,855","544,193","545,783","599,355","687,386","466,208","417,054",42.59%,40.17%,8.90%,209.97%,124.60%,0.29%,10.14%,26.31%,-14.33%,-23.36%
1.072   Maybe. Try better methods.,2sl93y77mbc41.png,"654,306","497,980","485,790","435,584","655,831","400,051","419,671","451,557","522,114","377,748","345,515",24.48%,21.43%,8.88%,63.94%,63.56%,4.90%,12.87%,30.51%,-5.58%,-13.63%
"1.000   NO,  this doesn't look like an ex-JPEG image.",2w4v555f27x51.png,"281,851","188,664","185,999","173,352","366,726","169,319","170,595","181,543","195,574","165,552","160,925",11.43%,9.85%,2.38%,116.59%,66.46%,0.75%,7.22%,15.51%,-2.22%,-4.96%
"1.000   NO,  this doesn't look like an ex-JPEG image.",300d93mub5061.png,"53,761","48,244","48,474","47,796","92,335","45,979","46,830","48,831","48,947","44,552","44,658",4.93%,5.43%,3.95%,100.82%,16.93%,1.85%,6.20%,6.46%,-3.10%,-2.87%
"1.000   NO,  this doesn't look like an ex-JPEG image.",310hndgk1bk51.png,"1,402,134","1,320,430","1,352,398","1,383,643","6,873,883","1,284,674","1,289,402","1,592,754","1,854,530","1,297,840","1,120,937",2.78%,5.27%,7.70%,435.07%,9.14%,0.37%,23.98%,44.36%,1.02%,-12.75%
"1.000   NO,  this doesn't look like an ex-JPEG image.",33n8csg2fnw51.png,"995,781","929,506","909,208","858,769","1,690,204","813,965","816,718","838,163","849,227","750,840","755,635",14.19%,11.70%,5.50%,107.65%,22.34%,0.34%,2.97%,4.33%,-7.76%,-7.17%
"1.000   NO,  this doesn't look like an ex-JPEG image.",34kp5903o9s31.png,"648,624","410,000","391,145","381,096","483,104","356,316","365,343","375,160","400,715","306,604","313,792",15.07%,9.77%,6.95%,35.58%,82.04%,2.53%,5.29%,12.46%,-13.95%,-11.93%
"1.000   NO,  this doesn't look like an ex-JPEG image.",34ve9if9o7z31.png,"535,567","504,636","494,511","449,592","985,418","430,035","433,624","447,716","460,213","407,068","399,774",17.35%,14.99%,4.55%,129.15%,24.54%,0.83%,4.11%,7.02%,-5.34%,-7.04%
"1.000   NO,  this doesn't look like an ex-JPEG image.",37gtvpgu63x51.png,"1,456,800","1,022,834","1,000,301","691,637","1,458,968","687,629","748,584","772,340","1,010,579","686,272","658,740",48.75%,45.47%,0.58%,112.17%,111.86%,8.86%,12.32%,46.97%,-0.20%,-4.20%
"1.000   NO,  this doesn't look like an ex-JPEG image.",3brebx1we6d41.png,"394,216","284,000","277,169","254,905","375,716","223,052","231,449","234,987","258,376","209,524","214,753",27.32%,24.26%,14.28%,68.44%,76.74%,3.76%,5.35%,15.84%,-6.06%,-3.72%
"1.000   NO,  this doesn't look like an ex-JPEG image.",3fcvuwapar241.png,"232,071","202,590","230,041","158,247","781,109","147,663","147,445","158,627","178,596","174,080","138,012",37.20%,55.79%,7.17%,428.98%,57.16%,-0.15%,7.43%,20.95%,17.89%,-6.54%
"1.046   NO,  this doesn't look like an ex-JPEG image.",3h4nf25m9wu51.png,"135,356","126,106","124,108","117,455","246,574","107,210","108,481","113,710","117,873","105,832","102,324",17.63%,15.76%,9.56%,129.99%,26.25%,1.19%,6.06%,9.95%,-1.29%,-4.56%
"1.000   NO,  this doesn't look like an ex-JPEG image.",3npl5bhp2q851.png,"631,618","588,900","612,026","497,913","1,003,798","422,841","425,246","472,074","1,239,630","502,152","377,507",39.27%,44.74%,17.75%,137.39%,49.37%,0.57%,11.64%,193.17%,18.76%,-10.72%
"1.000   NO,  this doesn't look like an ex-JPEG image.",3q3swyovlsj31.png,"1,130,645","773,726","764,734","737,843","1,300,316","712,577","715,584","726,463","729,322","683,176","676,013",8.58%,7.32%,3.55%,82.48%,58.67%,0.42%,1.95%,2.35%,-4.13%,-5.13%
"1.000   NO,  this doesn't look like an ex-JPEG image.",3ractg3c1xo51.png,"1,753,785","1,182,334","1,097,288","947,334","2,088,805","926,426","934,410","1,019,276","1,151,112","987,032","800,927",27.62%,18.44%,2.26%,125.47%,89.31%,0.86%,10.02%,24.25%,6.54%,-13.55%
"1.000   NO,  this doesn't look like an ex-JPEG image.",3vjz9emizts51.png,"7,036,120","5,209,422","4,802,190","4,980,842","5,472,745","4,816,967","4,979,288","5,161,326","5,695,931","4,462,504","4,011,605",8.15%,-0.31%,3.40%,13.61%,46.07%,3.37%,7.15%,18.25%,-7.36%,-16.72%
"1.000   NO,  this doesn't look like an ex-JPEG image.",45rb3uepbxi41.png,"890,135","841,726","807,706","832,357","2,030,076","665,171","666,567","767,277","1,034,439","788,472","600,890",26.54%,21.43%,25.13%,205.20%,33.82%,0.21%,15.35%,55.51%,18.54%,-9.66%
"1.000   NO,  this doesn't look like an ex-JPEG image.",4c0im8p2mbk41.png,"1,266,052","1,257,108","1,230,655","1,055,657","3,475,902","977,432","992,824","1,101,291","1,278,095","1,072,564","929,408",28.61%,25.91%,8.00%,255.62%,29.53%,1.57%,12.67%,30.76%,9.73%,-4.91%
"1.572 ! YES, this looks like an ex-JPEG image, shifts: 7, 0.",4o019b6ydo641.png,"857,180","610,038","576,457","569,317","952,010","466,063","494,768","563,648","803,788","468,760","386,794",30.89%,23.69%,22.15%,104.27%,83.92%,6.16%,20.94%,72.46%,0.58%,-17.01%
"1.449 ! YES, this looks like an ex-JPEG image, no smoothing.",4pn7zckuhux51.png,"1,908,999","1,396,350","1,315,602","1,170,774","1,722,283","1,041,945","1,111,770","1,170,751","1,408,579","972,604","882,921",34.01%,26.26%,12.36%,65.30%,83.21%,6.70%,12.36%,35.19%,-6.65%,-15.26%
"1.028   NO,  this doesn't look like an ex-JPEG image.",4u2bmhrmaow31.png,"805,890","576,172","543,754","539,679","759,831","444,444","453,592","476,927","638,624","402,416","399,059",29.64%,22.34%,21.43%,70.96%,81.33%,2.06%,7.31%,43.69%,-9.46%,-10.21%
"1.039   NO,  this doesn't look like an ex-JPEG image.",4xu07pd7kvu51.png,"644,983","584,622","576,146","518,368","1,209,938","473,866","477,769","519,885","573,089","485,396","448,842",23.37%,21.58%,9.39%,155.33%,36.11%,0.82%,9.71%,20.94%,2.43%,-5.28%
"1.335 ! YES, this looks like an ex-JPEG image with smoothing, shifts: 0, 7.",55acuskkgs041.png,"573,046","378,748","369,756","345,567","560,284","316,843","330,228","355,214","431,571","280,668","276,927",19.54%,16.70%,9.07%,76.83%,80.86%,4.22%,12.11%,36.21%,-11.42%,-12.60%
"1.000   NO,  this doesn't look like an ex-JPEG image.",57arug7nb8x51.png,"411,117","381,250","364,537","354,691","651,251","343,141","345,181","357,972","367,266","330,320","323,144",11.11%,6.24%,3.37%,89.79%,19.81%,0.59%,4.32%,7.03%,-3.74%,-5.83%
"1.000   NO,  this doesn't look like an ex-JPEG image.",57upp3o24xl31.png,"30,989","18,864","18,567","18,613","37,054","16,842","18,485","21,165","30,884","18,252","16,693",12.01%,10.24%,10.52%,120.01%,84.00%,9.76%,25.67%,83.37%,8.37%,-0.88%
"1.642 ! YES, this looks like an ex-JPEG image, no smoothing, shifts: 0, 3.",5ahboj1uz1641.png,"626,910","508,634","492,596","473,487","591,746","411,183","430,842","446,681","520,701","391,696","363,325",23.70%,19.80%,15.15%,43.91%,52.46%,4.78%,8.63%,26.63%,-4.74%,-11.64%
"1.000   NO,  this doesn't look like an ex-JPEG image.",5dpyk0ah0xz41.png,"258,804","245,492","240,446","214,248","716,124","194,672","196,216","238,189","288,718","198,340","187,176",26.11%,23.51%,10.06%,267.86%,32.94%,0.79%,22.35%,48.31%,1.88%,-3.85%
"1.000   NO,  this doesn't look like an ex-JPEG image.",5htc03p48dc41.png,"93,352","89,926","88,256","81,382","241,255","77,698","78,542","87,917","93,306","86,160","75,017",15.74%,13.59%,4.74%,210.50%,20.15%,1.09%,13.15%,20.09%,10.89%,-3.45%
"1.000   NO,  this doesn't look like an ex-JPEG image.",5j0hk8wxzyz51.png,"119,050","92,962","93,049","89,644","238,395","80,991","91,858","115,653","163,760","91,636","71,288",14.78%,14.89%,10.68%,194.35%,46.99%,13.42%,42.80%,102.20%,13.14%,-11.98%
1.094   Maybe. Try better methods.,5lg9uz7fb7a41.png,"569,992","451,688","430,490","458,680","540,120","384,362","398,577","419,696","483,433","358,300","336,395",17.52%,12.00%,19.34%,40.52%,48.30%,3.70%,9.19%,25.78%,-6.78%,-12.48%
"1.000   NO,  this doesn't look like an ex-JPEG image.",5n6zxs98bfv51.png,"1,347,903","1,314,564","1,300,181","1,073,818","5,554,908","1,002,814","1,008,994","1,208,824","1,456,784","1,159,412","987,198",31.09%,29.65%,7.08%,453.93%,34.41%,0.62%,20.54%,45.27%,15.62%,-1.56%
"1.046   NO,  this doesn't look like an ex-JPEG image.",5qr1u2o8krh51.png,"571,317","366,734","337,181","292,777","472,866","272,177","276,641","287,671","325,133","244,684","233,088",34.74%,23.88%,7.57%,73.73%,109.91%,1.64%,5.69%,19.46%,-10.10%,-14.36%
"1.000   NO,  this doesn't look like an ex-JPEG image.",5qwrffpsi5641.png,"1,142,948","1,091,230","1,083,918","797,474","3,455,531","752,325","751,261","860,176","1,102,423","830,916","721,100",45.05%,44.08%,6.00%,359.31%,51.92%,-0.14%,14.34%,46.54%,10.45%,-4.15%
1.053   Maybe. Try better methods.,5u75tkcafvv31.png,"1,306,543","921,508","868,441","821,267","1,043,796","777,797","813,809","865,680","1,013,637","709,472","629,928",18.48%,11.65%,5.59%,34.20%,67.98%,4.63%,11.30%,30.32%,-8.78%,-19.01%
1.119   Maybe. Try better methods.,5upix5vwbb341.png,"418,604","275,630","271,786","226,381","499,281","231,601","245,197","259,452","289,804","234,160","218,987",19.01%,17.35%,-2.25%,115.58%,80.74%,5.87%,12.03%,25.13%,1.10%,-5.45%
"3.114 ! YES, this looks like an ex-JPEG image, shifts: 2, 7.",5vl046chw6841.png,"900,240","690,980","663,599","623,151","816,202","562,458","574,167","586,049","631,288","520,992","530,976",22.85%,17.98%,10.79%,45.11%,60.05%,2.08%,4.19%,12.24%,-7.37%,-5.60%
1.147   Maybe. Try better methods.,5we47lzx3my51.png,"342,936","258,456","256,790","241,329","351,246","219,559","227,003","235,484","260,988","223,608","205,751",17.72%,16.96%,9.92%,59.98%,56.19%,3.39%,7.25%,18.87%,1.84%,-6.29%
"1.040   NO,  this doesn't look like an ex-JPEG image.",5yqvn7szhhy51.png,"2,287,498","1,528,882","1,469,846","1,384,564","2,731,729","1,565,266","1,584,205","1,642,937","1,461,088","1,323,656","1,257,679",-2.32%,-6.10%,-11.54%,74.52%,46.14%,1.21%,4.96%,-6.66%,-15.44%,-19.65%
"1.000   NO,  this doesn't look like an ex-JPEG image.",66vw8pbwnvg41.png,"1,546,032","1,244,778","1,194,339","892,013","5,436,431","787,431","797,162","1,231,251","1,687,644","920,528","744,482",58.08%,51.68%,13.28%,590.40%,96.34%,1.24%,56.36%,114.32%,16.90%,-5.45%
"1.000   NO,  this doesn't look like an ex-JPEG image.",6br8xpi8csz31.png,"293,017","282,952","271,211","252,316","647,300","245,625","248,121","271,755","291,136","260,032","233,371",15.20%,10.42%,2.72%,163.53%,19.29%,1.02%,10.64%,18.53%,5.87%,-4.99%
"1.000   NO,  this doesn't look like an ex-JPEG image.",6cqfiru8r9v51.png,"414,901","261,908","255,437","230,451","566,467","211,434","212,272","225,321","243,918","215,220","196,126",23.87%,20.81%,8.99%,167.92%,96.23%,0.40%,6.57%,15.36%,1.79%,-7.24%
"1.000   NO,  this doesn't look like an ex-JPEG image.",6f4s8a1823h41.png,"121,031","115,566","116,010","102,115","291,815","96,648","97,141","103,450","111,484","106,284","95,396",19.57%,20.03%,5.66%,201.94%,25.23%,0.51%,7.04%,15.35%,9.97%,-1.30%
"1.000   NO,  this doesn't look like an ex-JPEG image.",6hf79uy0wtx51.png,"270,872","262,290","262,063","248,319","507,230","241,880","245,330","253,218","260,662","242,712","236,541",8.44%,8.34%,2.66%,109.70%,11.99%,1.43%,4.69%,7.77%,0.34%,-2.21%
"1.000   NO,  this doesn't look like an ex-JPEG image.",6lpx8jur2dj31.png,"335,651","314,032","303,323","276,413","684,803","261,488","262,750","280,601","295,312","266,092","240,747",20.09%,16.00%,5.71%,161.89%,28.36%,0.48%,7.31%,12.94%,1.76%,-7.93%
"1.000   NO,  this doesn't look like an ex-JPEG image.",6o1uqmswo3541.png,"2,329,297","1,684,276","1,630,214","1,592,773","1,920,302","1,553,449","1,623,257","1,682,179","2,083,114","1,285,548","1,288,388",8.42%,4.94%,2.53%,23.62%,49.94%,4.49%,8.29%,34.10%,-17.25%,-17.06%
"1.000   NO,  this doesn't look like an ex-JPEG image.",6wfc3ik5rc241.png,"451,261","424,584","403,995","390,376","788,354","376,492","379,924","395,061","403,231","368,828","351,583",12.77%,7.31%,3.69%,109.39%,19.86%,0.91%,4.93%,7.10%,-2.04%,-6.62%
"1.025   NO,  this doesn't look like an ex-JPEG image.",72g4rmitjuw51.png,"1,672,193","1,381,408","1,261,066","1,338,427","1,430,631","1,055,563","1,062,133","1,090,527","1,418,074","966,424","962,078",30.87%,19.47%,26.80%,35.53%,58.42%,0.62%,3.31%,34.34%,-8.44%,-8.86%
