,Digital 2d Art (Manga),,,,,,,,,,,,Size difference vs. Jpeg XL (-e 9 -E 3 -I 1),,,,,,,,,
exJpeg,PNG (Pingo + ECT),,WebP,WP2,FLIF,AVIF,JXL (e9 E3 I1),JXL (-e 9),JXL (-e 7),JXL (-e 3),BMF (-s),EMMA,WebP,WP2,FLIF,AVIF,PNG,Effort 9,Effort 7,Effort 3,BMF,EMMA
"1.032   NO,  this doesn't look like an ex-JPEG image.",8dw7yyim8yn51.png,"1,860,398","1,467,588","1,383,427","1,498,978","1,708,258","1,130,219","1,142,366","1,226,244","1,552,914","1,072,368","1,040,643",29.85%,22.40%,32.63%,51.14%,64.61%,1.07%,8.50%,37.40%,-5.12%,-7.93%
"1.000   NO,  this doesn't look like an ex-JPEG image.",8efvhzvkcsd51.png,"259,523","248,028","240,482","208,530","839,758","172,886","173,430","264,453","516,310","183,416","151,167",43.46%,39.10%,20.62%,385.73%,50.11%,0.31%,52.96%,198.64%,6.09%,-12.56%
"1.000   NO,  this doesn't look like an ex-JPEG image.",8ex4nj6ey3w51.png,"144,077","136,864","141,181","104,608","505,930","95,831","97,168","107,439","125,954","108,080","97,079",42.82%,47.32%,9.16%,427.94%,50.34%,1.40%,12.11%,31.43%,12.78%,1.30%
"1.000   NO,  this doesn't look like an ex-JPEG image.",8gmv47tys6x51.png,"236,154","209,976","226,315","186,631","671,234","179,536","178,848","192,062","221,438","200,792","169,006",16.95%,26.06%,3.95%,273.87%,31.54%,-0.38%,6.98%,23.34%,11.84%,-5.87%
"1.000   NO,  this doesn't look like an ex-JPEG image.",8gydjdprm2h41.png,"781,417","542,710","516,523","512,794","738,928","445,755","462,745","492,921","614,046","391,228","374,393",21.75%,15.88%,15.04%,65.77%,75.30%,3.81%,10.58%,37.75%,-12.23%,-16.01%
"1.000   NO,  this doesn't look like an ex-JPEG image.",8hfmuspaxqy51.png,"1,047,925","1,012,672","1,000,014","906,430","2,520,854","896,397","898,551","1,011,042","1,113,296","944,824","817,588",12.97%,11.56%,1.12%,181.22%,16.90%,0.24%,12.79%,24.20%,5.40%,-8.79%
"1.000   NO,  this doesn't look like an ex-JPEG image.",8pxi7rjxp9v51.png,"2,308,504","1,846,798","1,666,635","1,610,367","2,012,303","1,607,539","1,675,683","1,728,055","1,949,571","1,545,044","1,299,520",14.88%,3.68%,0.18%,25.18%,43.60%,4.24%,7.50%,21.28%,-3.89%,-19.16%
"1.018   NO,  this doesn't look like an ex-JPEG image.",8s0o7eapf3x31.png,"1,235,911","1,165,924","1,150,033","1,054,017","2,082,474","1,033,547","1,039,090","1,062,021","1,080,697","968,692","958,302",12.81%,11.27%,1.98%,101.49%,19.58%,0.54%,2.75%,4.56%,-6.27%,-7.28%
"1.000   NO,  this doesn't look like an ex-JPEG image.",8vgmle14izg41.png,"836,250","556,656","530,856","393,764","794,088","363,944","384,350","409,970","482,443","342,368","334,118",52.95%,45.86%,8.19%,118.19%,129.77%,5.61%,12.65%,32.56%,-5.93%,-8.20%
"1.033   NO,  this doesn't look like an ex-JPEG image.",913yxx4iyp841.png,"573,900","381,452","385,608","322,969","798,950","294,877","309,608","354,646","584,245","298,984","231,418",29.36%,30.77%,9.53%,170.94%,94.62%,5.00%,20.27%,98.13%,1.39%,-21.52%
"1.000   NO,  this doesn't look like an ex-JPEG image.",94j2q1nqsoz51.png,"1,313,604","895,802","846,702","839,545","1,335,077","780,498","788,014","806,612","837,353","796,012","749,230",14.77%,8.48%,7.57%,71.05%,68.30%,0.96%,3.35%,7.28%,1.99%,-4.01%
"1.031   NO,  this doesn't look like an ex-JPEG image.",95syrffycdj51.png,"590,125","574,650","571,436","469,272","1,716,733","429,883","438,885","526,110","657,409","504,044","394,989",33.68%,32.93%,9.16%,299.35%,37.28%,2.09%,22.38%,52.93%,17.25%,-8.12%
"1.000   NO,  this doesn't look like an ex-JPEG image.",98fabv2o63u51.png,"1,112,557","1,052,654","1,039,879","921,151","2,224,321","929,751","935,822","1,019,919","1,111,253","896,832","843,614",13.22%,11.84%,-0.92%,139.24%,19.66%,0.65%,9.70%,19.52%,-3.54%,-9.26%
"1.000   NO,  this doesn't look like an ex-JPEG image.",99na2l7v2mh41.png,"50,756","47,544","47,075","36,852","253,007","34,348","34,330","40,474","47,175","36,972","38,168",38.42%,37.05%,7.29%,636.60%,47.77%,-0.05%,17.84%,37.34%,7.64%,11.12%
1.069   Maybe. Try better methods.,9bv9e504j2b41.png,"468,609","441,420","438,424","401,194","957,890","382,186","387,411","421,565","456,488","382,352","358,573",15.50%,14.71%,4.97%,150.63%,22.61%,1.37%,10.30%,19.44%,0.04%,-6.18%
1.067   Maybe. Try better methods.,9EYp13c.png,"49,424","47,408","47,619","34,607","321,311","31,955","32,035","41,098","57,447","34,868","33,211",48.36%,49.02%,8.30%,905.51%,54.67%,0.25%,28.61%,79.77%,9.12%,3.93%
"1.000   NO,  this doesn't look like an ex-JPEG image.",9h3c6u0d86r41.png,"5,134,466","3,657,600","3,467,815","2,681,416","8,849,123","2,630,912","2,690,042","2,806,448","2,971,448","2,252,348","2,223,398",39.02%,31.81%,1.92%,236.35%,95.16%,2.25%,6.67%,12.94%,-14.39%,-15.49%
"1.000   NO,  this doesn't look like an ex-JPEG image.",9hrvi961jhy31.png,"1,204,584","867,894","798,290","754,476","1,002,065","760,859","812,586","839,980","988,074","642,436","573,377",14.07%,4.92%,-0.84%,31.70%,58.32%,6.80%,10.40%,29.86%,-15.56%,-24.64%
"1.000   NO,  this doesn't look like an ex-JPEG image.",9n0zw1u0mar41.png,"1,062,027","686,854","661,113","632,663","1,055,899","596,219","605,346","624,454","711,713","583,344","546,650",15.20%,10.88%,6.11%,77.10%,78.13%,1.53%,4.74%,19.37%,-2.16%,-8.31%
"1.000   NO,  this doesn't look like an ex-JPEG image.",9o76dsh4ax061.png,"94,905","92,728","92,389","82,453","244,809","79,963","80,572","89,427","95,761","85,144","76,805",15.96%,15.54%,3.11%,206.15%,18.69%,0.76%,11.84%,19.76%,6.48%,-3.95%
"3.472 ! YES, this looks like an ex-JPEG image, no smoothing, shifts: 0, 2.",9s13kkm53mc41.png,"1,680,588","1,126,362","1,092,524","921,300","1,884,081","1,148,710","1,157,719","1,193,060","993,091","855,252","831,862",-1.95%,-4.89%,-19.80%,64.02%,46.30%,0.78%,3.86%,-13.55%,-25.55%,-27.58%
"1.410 ! YES, this looks like an ex-JPEG image, no smoothing.",9s9tJfj.png,"946,099","748,322","699,150","700,845","893,958","644,539","660,348","676,240","740,281","585,416","554,369",16.10%,8.47%,8.74%,38.70%,46.79%,2.45%,4.92%,14.85%,-9.17%,-13.99%
"1.000   NO,  this doesn't look like an ex-JPEG image.",9snkif62a2x51.png,"31,836","29,322","28,625","27,498","191,066","23,397","24,078","30,814","66,902","19,584","19,832",25.32%,22.34%,17.53%,716.63%,36.07%,2.91%,31.70%,185.94%,-16.30%,-15.24%
1.057   Maybe. Try better methods.,9yhicif0hjm51.png,"409,298","390,000","386,203","352,626","855,001","336,382","338,774","365,509","391,331","347,580","312,193",15.94%,14.81%,4.83%,154.18%,21.68%,0.71%,8.66%,16.34%,3.33%,-7.19%
"1.000   NO,  this doesn't look like an ex-JPEG image.",9yssoni3dwj41.png,"1,659,558","1,519,564","1,482,360","1,317,639","2,706,628","1,213,665","1,224,423","1,281,833","1,435,496","1,269,964","1,134,473",25.20%,22.14%,8.57%,123.01%,36.74%,0.89%,5.62%,18.28%,4.64%,-6.53%
"1.000   NO,  this doesn't look like an ex-JPEG image.",9z42xp0224p51.png,"6,787,978","5,625,670","5,341,448","5,062,015","6,158,461","4,704,185","4,967,054","5,280,816","6,694,994","4,088,924","3,965,299",19.59%,13.55%,7.61%,30.91%,44.30%,5.59%,12.26%,42.32%,-13.08%,-15.71%
"1.000   NO,  this doesn't look like an ex-JPEG image.",a1fok4ffenc41.png,"324,099","221,832","218,201","198,552","471,656","208,575","219,032","245,533","236,629","201,224","180,721",6.36%,4.62%,-4.81%,126.13%,55.39%,5.01%,17.72%,13.45%,-3.52%,-13.35%
"1.029   NO,  this doesn't look like an ex-JPEG image.",a69p6aez9ew31.png,"6,196,998","4,660,148","4,270,882","4,078,140","5,965,842","3,752,048","3,888,798","4,120,030","4,687,381","3,688,124","3,191,149",24.20%,13.83%,8.69%,59.00%,65.16%,3.64%,9.81%,24.93%,-1.70%,-14.95%
"1.000   NO,  this doesn't look like an ex-JPEG image.",a6wzuujbhny51.png,"1,233,599","889,402","799,667","740,105","1,153,651","661,590","689,860","728,341","888,126","653,500","548,632",34.43%,20.87%,11.87%,74.38%,86.46%,4.27%,10.09%,34.24%,-1.22%,-17.07%
"7.186 ! YES, this looks like an ex-JPEG image, no smoothing.",a75aq91wi0251.png,"1,843,363","1,010,324","936,199","769,690","3,262,389","848,779","855,024","1,008,066","1,002,280","809,060","719,775",19.03%,10.30%,-9.32%,284.36%,117.18%,0.74%,18.77%,18.08%,-4.68%,-15.20%
1.088   Maybe. Try better methods.,abz2u64thcc41.png,"1,269,216","968,358","903,195","848,129","1,085,481","762,001","783,004","794,655","877,779","649,484","662,519",27.08%,18.53%,11.30%,42.45%,66.56%,2.76%,4.29%,15.19%,-14.77%,-13.06%
"1.000   NO,  this doesn't look like an ex-JPEG image.",ack70hgd1hu31.png,"572,532","447,186","431,756","393,035","517,161","354,693","371,356","381,266","426,534","313,928","317,994",26.08%,21.73%,10.81%,45.81%,61.42%,4.70%,7.49%,20.25%,-11.49%,-10.35%
"1.000   NO,  this doesn't look like an ex-JPEG image.",adkeq32ol2051.png,"170,102","161,550","154,638","138,977","515,720","123,789","124,914","155,628","194,856","118,416","115,728",30.50%,24.92%,12.27%,316.61%,37.41%,0.91%,25.72%,57.41%,-4.34%,-6.51%
"1.000   NO,  this doesn't look like an ex-JPEG image.",aht7216eikx51.png,"157,792","106,176","104,025","100,519","208,536","95,905","96,658","100,429","105,072","94,704","91,925",10.71%,8.47%,4.81%,117.44%,64.53%,0.79%,4.72%,9.56%,-1.25%,-4.15%
1.072   Maybe. Try better methods.,ap8g0umghcm31.png,"800,500","408,762","392,775","311,195","1,385,049","285,079","289,398","410,288","560,290","285,596","259,959",43.39%,37.78%,9.16%,385.85%,180.80%,1.52%,43.92%,96.54%,0.18%,-8.81%
"1.000   NO,  this doesn't look like an ex-JPEG image.",asdh335d09z51.png,"744,923","713,554","732,552","596,057","1,149,044","509,880","511,079","623,184","812,485","477,136","496,479",39.95%,43.67%,16.90%,125.36%,46.10%,0.24%,22.22%,59.35%,-6.42%,-2.63%
"1.000   NO,  this doesn't look like an ex-JPEG image.",asqyjoi4the51.png,"303,899","295,804","292,443","219,739","1,647,618","204,627","201,471","253,888","330,192","240,044","197,427",44.56%,42.92%,7.39%,705.18%,48.51%,-1.54%,24.07%,61.36%,17.31%,-3.52%
"1.000   NO,  this doesn't look like an ex-JPEG image.",auk8jic70fx51.png,"524,926","381,456","364,888","346,950","440,275","323,855","330,371","330,069","348,315","290,320","286,678",17.79%,12.67%,7.13%,35.95%,62.09%,2.01%,1.92%,7.55%,-10.35%,-11.48%
1.082   Maybe. Try better methods.,awrutlpkyng41.png,"433,913","317,278","300,447","293,995","392,062","254,815","263,432","272,989","323,579","230,836","220,454",24.51%,17.91%,15.38%,53.86%,70.29%,3.38%,7.13%,26.99%,-9.41%,-13.48%
"1.000   NO,  this doesn't look like an ex-JPEG image.",axh99q4gagy51.png,"665,967","618,376","605,197","531,821","1,343,829","503,688","506,447","529,956","556,257","495,292","475,099",22.77%,20.15%,5.59%,166.80%,32.22%,0.55%,5.22%,10.44%,-1.67%,-5.68%
"1.049   NO,  this doesn't look like an ex-JPEG image.",aztzlnb9ihd41.png,"167,148","120,364","119,772","113,129","173,423","99,294","108,421","114,338","139,124","87,944","95,005",21.22%,20.62%,13.93%,74.66%,68.34%,9.19%,15.15%,40.11%,-11.43%,-4.32%
"1.000   NO,  this doesn't look like an ex-JPEG image.",b6z1k7dmx4l51.png,"296,855","282,048","287,376","251,218","1,074,064","233,416","233,453","306,959","393,078","249,828","212,743",20.83%,23.12%,7.63%,360.15%,27.18%,0.02%,31.51%,68.40%,7.03%,-8.86%
1.072   Maybe. Try better methods.,b7vw7liwo0e41.png,"2,542,062","1,817,384","2,034,846","1,883,030","5,572,375","1,369,120","1,473,888","1,748,027","6,756,900","1,392,744","1,210,579",32.74%,48.62%,37.54%,307.00%,85.67%,7.65%,27.68%,393.52%,1.73%,-11.58%
1.106   Maybe. Try better methods.,bfjt6syrzrg41.png,"1,048,673","888,616","851,892","673,287","1,621,575","598,459","600,999","631,560","688,324","481,908","529,299",48.48%,42.35%,12.50%,170.96%,75.23%,0.42%,5.53%,15.02%,-19.48%,-11.56%
"1.000   NO,  this doesn't look like an ex-JPEG image.",bgo4zorsifx51.png,"1,487,621","1,461,484","1,428,251","1,189,066","3,410,604","1,161,510","1,168,983","1,241,525","1,347,682","1,161,308","1,078,322",25.83%,22.97%,2.37%,193.64%,28.08%,0.64%,6.89%,16.03%,-0.02%,-7.16%
"1.000   NO,  this doesn't look like an ex-JPEG image.",bgzp5zsh5v241.png,"2,158,238","1,610,964","1,531,063","1,482,999","1,851,454","1,396,876","1,407,124","1,430,173","1,575,891","1,314,376","1,276,676",15.33%,9.61%,6.17%,32.54%,54.50%,0.73%,2.38%,12.82%,-5.91%,-8.60%
"1.318 ! YES, this looks like an ex-JPEG image, no smoothing, shifts: 1, 0.",bp1ol9qg52051.png,"1,155,324","679,278","640,918","559,379","1,785,110","515,099","517,352","583,187","712,250","571,904","467,029",31.87%,24.43%,8.60%,246.56%,124.29%,0.44%,13.22%,38.27%,11.03%,-9.33%
1.108   Maybe. Try better methods.,btmslqwnijh41.png,"209,973","198,878","198,113","158,465","446,038","146,553","146,653","155,088","167,041","138,212","138,886",35.70%,35.18%,8.13%,204.35%,43.27%,0.07%,5.82%,13.98%,-5.69%,-5.23%
"1.000   NO,  this doesn't look like an ex-JPEG image.",bzb0flugs8i31.png,"2,044,738","1,308,102","1,290,586","1,010,133","2,381,538","959,821","982,124","1,045,214","1,165,984","935,452","922,328",36.29%,34.46%,5.24%,148.12%,113.03%,2.32%,8.90%,21.48%,-2.54%,-3.91%
"1.022   NO,  this doesn't look like an ex-JPEG image.",c0fls6eza7v31.png,"1,432,889","930,172","926,558","801,196","1,476,513","787,370","809,874","828,970","871,507","743,432","741,435",18.14%,17.68%,1.76%,87.52%,81.98%,2.86%,5.28%,10.69%,-5.58%,-5.83%
"1.023   NO,  this doesn't look like an ex-JPEG image.",c4o4edl7zli41.png,"1,028,983","675,980","637,010","548,773","1,325,240","645,720","650,562","699,730","637,473","551,600","507,193",4.69%,-1.35%,-15.01%,105.23%,59.35%,0.75%,8.36%,-1.28%,-14.58%,-21.45%
"1.000   NO,  this doesn't look like an ex-JPEG image.",c5iboltu6cf41.png,"545,269","464,590","448,678","344,553","567,717","364,477","364,796","383,808","554,227","370,284","326,690",27.47%,23.10%,-5.47%,55.76%,49.60%,0.09%,5.30%,52.06%,1.59%,-10.37%
"1.260 ! YES, this looks like an ex-JPEG image, no smoothing, shifts: 7, 0.",c7zq2fj8r4e41.png,"895,200","735,058","716,424","712,210","866,849","663,218","687,209","705,340","774,385","637,644","567,729",10.83%,8.02%,7.39%,30.70%,34.98%,3.62%,6.35%,16.76%,-3.86%,-14.40%
"1.213 ! YES, this looks like an ex-JPEG image, shifts: 7, 0.",cd2imm9tj0f41.png,"686,134","459,926","440,592","372,462","592,099","350,477","362,891","376,622","412,982","318,656","309,834",31.23%,25.71%,6.27%,68.94%,95.77%,3.54%,7.46%,17.83%,-9.08%,-11.60%
1.079   Maybe. Try better methods.,cjk0mtkyeay51.png,"781,598","732,008","718,845","650,998","1,164,645","628,972","629,810","664,201","708,225","578,860","582,366",16.38%,14.29%,3.50%,85.17%,24.27%,0.13%,5.60%,12.60%,-7.97%,-7.41%
"1.045   NO,  this doesn't look like an ex-JPEG image.",ckvggfs81h441.png,"510,190","500,464","505,700","414,648","1,273,811","380,289","382,392","434,077","820,556","512,056","369,797",31.60%,32.98%,9.03%,234.96%,34.16%,0.55%,14.14%,115.77%,34.65%,-2.76%
"1.000   NO,  this doesn't look like an ex-JPEG image.",cmhi35ryywz51.png,"1,404,601","1,330,800","1,292,669","1,222,084","3,527,837","1,193,039","1,193,319","1,367,625","1,508,295","1,292,064","1,135,191",11.55%,8.35%,2.43%,195.70%,17.73%,0.02%,14.63%,26.42%,8.30%,-4.85%
"1.000   NO,  this doesn't look like an ex-JPEG image.",cobuaqenrw041.png,"266,448","247,102","240,174","216,023","523,902","209,541","211,021","225,276","238,625","217,644","200,338",17.93%,14.62%,3.09%,150.02%,27.16%,0.71%,7.51%,13.88%,3.87%,-4.39%
1.091   Maybe. Try better methods.,csokpchdzq841.png,"689,439","639,128","628,792","659,201","1,826,188","597,579","600,795","676,337","2,041,851","453,940","504,020",6.95%,5.22%,10.31%,205.60%,15.37%,0.54%,13.18%,241.69%,-24.04%,-15.66%
"1.000   NO,  this doesn't look like an ex-JPEG image.",ct91flrrgo641.png,"1,669,345","1,534,814","1,491,888","1,403,730","2,704,783","1,354,192","1,363,553","1,413,158","1,476,661","1,288,624","1,254,425",13.34%,10.17%,3.66%,99.73%,23.27%,0.69%,4.35%,9.04%,-4.84%,-7.37%
"1.000   NO,  this doesn't look like an ex-JPEG image.",ctamh1cazkb41.png,"23,825","19,866","16,582","14,028","28,604","14,133","14,170","15,606","45,297","12,672","13,310",40.56%,17.33%,-0.74%,102.39%,68.58%,0.26%,10.42%,220.51%,-10.34%,-5.82%
1.069   Maybe. Try better methods.,ctcdzfon6ie41.png,"912,476","611,398","570,688","469,353","1,034,019","431,014","445,987","478,993","564,886","474,756","410,186",41.85%,32.41%,8.90%,139.90%,111.70%,3.47%,11.13%,31.06%,10.15%,-4.83%
"1.036   NO,  this doesn't look like an ex-JPEG image.",ctv75xcmu0e41.png,"2,141,811","1,459,742","1,418,280","1,252,211","2,193,756","1,195,513","1,212,997","1,250,263","1,312,507","1,079,968","1,090,053",22.10%,18.63%,4.74%,83.50%,79.15%,1.46%,4.58%,9.79%,-9.66%,-8.82%
"1.000   NO,  this doesn't look like an ex-JPEG image.",d3q3wao848s51.png,"806,733","648,514","615,464","556,605","828,367","567,184","584,668","622,410","752,439","518,652","462,557",14.34%,8.51%,-1.87%,46.05%,42.23%,3.08%,9.74%,32.66%,-8.56%,-18.45%
"1.021   NO,  this doesn't look like an ex-JPEG image.",d8ahu5ekw0041.png,"1,005,765","921,914","884,050","805,566","1,704,709","765,734","766,834","791,165","816,552","714,036","720,929",20.40%,15.45%,5.20%,122.62%,31.35%,0.14%,3.32%,6.64%,-6.75%,-5.85%
"1.000   NO,  this doesn't look like an ex-JPEG image.",d9hgp28ngez51.png,"184,677","168,266","159,743","159,615","297,939","149,963","150,636","153,956","156,458","142,376","141,038",12.21%,6.52%,6.44%,98.68%,23.15%,0.45%,2.66%,4.33%,-5.06%,-5.95%
"1.000   NO,  this doesn't look like an ex-JPEG image.",dciy4u19svv31.png,"364,491","339,540","334,624","301,207","714,531","281,156","283,006","295,624","317,413","280,420","263,921",20.77%,19.02%,7.13%,154.14%,29.64%,0.66%,5.15%,12.90%,-0.26%,-6.13%
"1.017   NO,  this doesn't look like an ex-JPEG image.",dghx5h93l8k41.png,"621,654","433,042","422,094","392,040","684,170","447,090","462,803","517,081","636,228","404,516","316,862",-3.14%,-5.59%,-12.31%,53.03%,39.04%,3.51%,15.65%,42.30%,-9.52%,-29.13%
"1.049   NO,  this doesn't look like an ex-JPEG image.",dqziqgul6yy41.png,"376,937","372,248","378,155","424,173","1,628,146","314,344","316,624","364,466","697,567","343,488","277,717",18.42%,20.30%,34.94%,417.95%,19.91%,0.73%,15.94%,121.91%,9.27%,-11.65%
"1.000   NO,  this doesn't look like an ex-JPEG image.",dvm7diqq6v641.png,"300,183","291,954","289,999","260,877","656,295","267,145","269,933","288,859","359,123","268,296","236,204",9.29%,8.55%,-2.35%,145.67%,12.37%,1.04%,8.13%,34.43%,0.43%,-11.58%
"1.000   NO,  this doesn't look like an ex-JPEG image.",dx1cdug5jqn31.png,"715,529","452,380","438,898","384,473","944,663","365,387","366,170","379,047","398,808","342,340","338,546",23.81%,20.12%,5.22%,158.54%,95.83%,0.21%,3.74%,9.15%,-6.31%,-7.35%
"1.001   NO,  this doesn't look like an ex-JPEG image.",e7QQeLw.png,"424,402","289,208","283,055","238,914","567,561","241,599","252,028","273,550","295,644","247,772","224,191",19.71%,17.16%,-1.11%,134.92%,75.66%,4.32%,13.22%,22.37%,2.56%,-7.21%
"1.000   NO,  this doesn't look like an ex-JPEG image.",e8v7eqervov51.png,"2,233,799","1,740,036","1,645,270","1,548,479","3,666,390","1,449,246","1,460,902","1,544,133","1,687,206","1,508,964","1,320,843",20.06%,13.53%,6.85%,152.99%,54.14%,0.80%,6.55%,16.42%,4.12%,-8.86%
"1.034   NO,  this doesn't look like an ex-JPEG image.",EFqvA4S.png,"229,345","225,010","225,277","187,856","1,614,957","163,262","163,616","212,694","768,775","158,004","156,232",37.82%,37.98%,15.06%,889.18%,40.48%,0.22%,30.28%,370.88%,-3.22%,-4.31%
1.053   Maybe. Try better methods.,egmw02x3sh541.png,"1,391,630","1,044,948","1,005,867","921,824","1,193,319","895,531","945,214","960,672","1,090,297","796,184","762,981",16.68%,12.32%,2.94%,33.25%,55.40%,5.55%,7.27%,21.75%,-11.09%,-14.80%
"1.000   NO,  this doesn't look like an ex-JPEG image.",elw1ow8u50d41.png,"4,478,028","3,054,546","2,840,426","2,671,421","3,831,699","2,609,536","3,179,166","3,245,013","3,727,184","2,807,820","1,993,487",17.05%,8.85%,2.37%,46.83%,71.60%,21.83%,24.35%,42.83%,7.60%,-23.61%
"1.000   NO,  this doesn't look like an ex-JPEG image.",elwu547fi2m41.png,"242,919","233,296","234,278","197,553","1,045,742","186,190","186,419","205,452","233,758","205,636","180,609",25.30%,25.83%,6.10%,461.65%,30.47%,0.12%,10.35%,25.55%,10.44%,-3.00%
"1.000   NO,  this doesn't look like an ex-JPEG image.",emxp94rpsw941.png,"97,805","67,266","65,927","62,353","124,099","59,074","66,085","79,390","89,923","58,620","52,530",13.87%,11.60%,5.55%,110.07%,65.56%,11.87%,34.39%,52.22%,-0.77%,-11.08%
"1.248 ! YES, this looks like an ex-JPEG image, no smoothing, shifts: 2, 7.",eRDlQDn.png,"67,557","64,130","59,812","54,465","159,751","50,268","52,969","57,156","62,150","55,960","50,450",27.58%,18.99%,8.35%,217.80%,34.39%,5.37%,13.70%,23.64%,11.32%,0.36%
"1.560 ! YES, this looks like an ex-JPEG image.",ew0krp5u4r641.png,"60,705","54,294","49,781","38,415","80,071","41,332","41,497","50,241","171,611","32,876","36,227",31.36%,20.44%,-7.06%,93.73%,46.87%,0.40%,21.55%,315.20%,-20.46%,-12.35%
1.078   Maybe. Try better methods.,f0cvgyw7bbx51.png,"156,644","141,778","139,953","130,459","324,226","118,950","119,567","129,377","138,828","124,520","111,189",19.19%,17.66%,9.68%,172.57%,31.69%,0.52%,8.77%,16.71%,4.68%,-6.52%
"1.000   NO,  this doesn't look like an ex-JPEG image.",f1g6o0pi5gw51.png,"551,282","518,392","514,480","474,758","975,374","445,540","446,810","477,061","515,597","418,032","408,414",16.35%,15.47%,6.56%,118.92%,23.73%,0.29%,7.07%,15.72%,-6.17%,-8.33%
"1.273 ! YES, this looks like an ex-JPEG image with smoothing, shifts: 2, 1.",f83dwkzmdee51.png,"564,262","402,310","395,310","299,439","838,256","278,604","296,246","329,903","388,726","306,876","268,207",44.40%,41.89%,7.48%,200.88%,102.53%,6.33%,18.41%,39.53%,10.15%,-3.73%
"1.000   NO,  this doesn't look like an ex-JPEG image.",fan2qmvi10061.png,"114,693","105,510","105,263","95,473","215,396","91,870","92,307","96,367","99,356","89,284","88,170",14.85%,14.58%,3.92%,134.46%,24.84%,0.48%,4.89%,8.15%,-2.81%,-4.03%
"1.000   NO,  this doesn't look like an ex-JPEG image.",fejfk0m9dsz31.png,"815,876","542,992","529,487","492,670","1,031,313","471,894","474,511","487,154","495,958","439,452","437,478",15.07%,12.20%,4.40%,118.55%,72.89%,0.55%,3.23%,5.10%,-6.87%,-7.29%
1.090   Maybe. Try better methods.,fh3g1y2axlu31.png,"2,720,014","2,090,086","1,995,995","1,899,322","2,368,275","1,757,688","1,798,626","1,828,275","1,910,504","1,621,856","1,566,897",18.91%,13.56%,8.06%,34.74%,54.75%,2.33%,4.02%,8.69%,-7.73%,-10.85%
"1.000   NO,  this doesn't look like an ex-JPEG image.",fj9ubzbxr2441.png,"620,222","486,392","477,816","372,994","756,148","367,078","440,268","484,099","629,677","363,336","342,754",32.50%,30.17%,1.61%,105.99%,68.96%,19.94%,31.88%,71.54%,-1.02%,-6.63%
"4.413 ! YES, this looks like an ex-JPEG image, no smoothing.",flgzp8rxws751.png,"481,859","317,022","310,284","292,575","856,974","269,328","272,609","323,845","349,061","292,400","246,878",17.71%,15.21%,8.63%,218.19%,78.91%,1.22%,20.24%,29.60%,8.57%,-8.34%
"1.000   NO,  this doesn't look like an ex-JPEG image.",frcy34xmn5c41.png,"1,133,431","910,196","881,376","844,772","1,058,100","782,225","790,354","797,660","833,330","731,136","743,492",16.36%,12.68%,8.00%,35.27%,44.90%,1.04%,1.97%,6.53%,-6.53%,-4.95%
"1.000   NO,  this doesn't look like an ex-JPEG image.",fs8ajs8kd2y51.png,"143,270","135,244","134,703","126,447","245,842","115,196","115,928","120,862","124,902","110,796","112,294",17.40%,16.93%,9.77%,113.41%,24.37%,0.64%,4.92%,8.43%,-3.82%,-2.52%
"1.000   NO,  this doesn't look like an ex-JPEG image.",fuq0it82hv351.png,"58,564","52,102","50,377","46,041","151,753","39,647","39,983","46,960","54,589","43,656","38,436",31.41%,27.06%,16.13%,282.76%,47.71%,0.85%,18.45%,37.69%,10.11%,-3.05%
"1.000   NO,  this doesn't look like an ex-JPEG image.",fxs5sp5dwbu51.png,"1,692,669","1,675,698","1,405,294","1,204,853","5,160,646","1,104,742","1,108,480","1,336,548","1,881,364","1,134,024","969,326",51.68%,27.21%,9.06%,367.14%,53.22%,0.34%,20.98%,70.30%,2.65%,-12.26%
"1.000   NO,  this doesn't look like an ex-JPEG image.",g32j7ny0ubc51.png,"68,238","59,456","59,258","45,153","147,875","43,751","43,817","48,441","52,836","41,732","42,980",35.90%,35.44%,3.20%,237.99%,55.97%,0.15%,10.72%,20.77%,-4.61%,-1.76%
1.058   Maybe. Try better methods.,g4noc6157ly51.png,"398,374","391,526","388,051","318,531","1,648,713","302,607","299,269","325,355","387,386","338,108","286,607",29.38%,28.24%,5.26%,444.84%,31.65%,-1.10%,7.52%,28.02%,11.73%,-5.29%
"1.000   NO,  this doesn't look like an ex-JPEG image.",gazlg0zbr7631.png,"270,865","254,292","253,658","233,069","452,323","196,897","197,956","216,138","574,914","198,500","182,461",29.15%,28.83%,18.37%,129.73%,37.57%,0.54%,9.77%,191.99%,0.81%,-7.33%
"1.000   NO,  this doesn't look like an ex-JPEG image.",gc0zescjmdk41.png,"571,671","391,918","377,037","381,927","469,401","350,373","355,508","365,368","395,970","312,660","313,110",11.86%,7.61%,9.01%,33.97%,63.16%,1.47%,4.28%,13.01%,-10.76%,-10.64%
"1.000   NO,  this doesn't look like an ex-JPEG image.",gpkitubb1xy51.png,"460,600","450,458","428,523","371,421","1,084,269","346,283","351,070","389,784","418,800","373,904","331,392",30.08%,23.75%,7.26%,213.12%,33.01%,1.38%,12.56%,20.94%,7.98%,-4.30%
